Trace_Id, 1-593199e6-239fb3913b4ab1dc1ce1eb60, Trace_Latency [ms], 10.641999959945679

name, id, resource, parent_id, start, end, MC-val, MC-unit, PAW-val, PAW-unit, PTW-val, PTW-unit, MAW-val, MAW-unit, MTW-val, MTW-unit, c_1_name, c_1_val, c_1_type, c_2_name, c_2_val, c_2_type, c_3_name, c_3_val, c_3_type, c_4_name, c_4_val, c_4_type

predictValueFunction, 0b86742e53263697, N/A, b4f415436c7bf916, 1496422892.091, 1496422892.101
predictValueFunction-Attempt #1, 45c2805fc0038c73, N/A, 0b86742e53263697, 1496422892.125, 1496422896.647
predictValueFunction-Dwell Time, 37e66cb274111b0d, N/A, 0b86742e53263697, 1496422892.091, 1496422892.125
ingestValueFunction, 632eccf5dd310c14, N/A, , 1496422886.005, 1496422892.176
persistValueFunction, 5cfb00d6750b7c8a, N/A, 68a8f958dc2d28ff, 1496422892.028, 1496422892.048
persistValueFunction-Attempt #1, 4c58e0c36032b4ff, N/A, 5cfb00d6750b7c8a, 1496422892.074, 1496422892.517
persistValueFunction-Dwell Time, 2ec7ed4011113223, N/A, 5cfb00d6750b7c8a, 1496422892.028, 1496422892.074
ingestValueFunction, 7588ae846dca7989, ingestValueFunction, 632eccf5dd310c14, 1496422890.468, 1496422892.175, 3744, NANO-USD, 0, B, 0, MS, 86, MB, 72, MS, Duration, 1728, MS, BilledDuration, 1800, MS, MemorySize, 128, MB, MaxMemoryUsed, 42, MB
ingestValueFunction-Lambda, b4f415436c7bf916, predictValueFunction, 7588ae846dca7989, 1496422891.071, 1496422892.173
ingestValueFunction-Lambda, 68a8f958dc2d28ff, persistValueFunction, 7588ae846dca7989, 1496422890.589, 1496422892.071
ingestValueFunction-Initialization, 586e7afa1ef05561, N/A, 7588ae846dca7989, 1496422889.726, 1496422890.446
persistValueFunction, 7750458c3127f517, persistValueFunction, 4c58e0c36032b4ff, 1496422892.095, 1496422892.514, 1040, NANO-USD, 0, B, 0, MS, 91, MB, 73, MS, Duration, 427, MS, BilledDuration, 500, MS, MemorySize, 128, MB, MaxMemoryUsed, 37, MB
persistValueFunction-DynamoDB, 14d659db308cee93, ValuesTable, 7750458c3127f517, 1496422892.136, 1496422892.456, 181, NANO-USD, 9818, B, 3599679, MS, 818, B, 679, MS, CapacityUnits, 1, WCU, PayloadSize, 182, B, Latency, 321, MS
predictValueFunction, 4478bca51348740b, predictValueFunction, 45c2805fc0038c73, 1496422896.271, 1496422896.641, 6668, NANO-USD, 0, B, 0, MS, 985, MB, 27, MS, Duration, 373, MS, BilledDuration, 400, MS, MemorySize, 1024, MB, MaxMemoryUsed, 39, MB
predictValueFunction-Initialization, 7c9fa06f6bc4f966, N/A, 4478bca51348740b, 1496422895.67, 1496422896.268
predictValueFunction-DynamoDB, d4de507f1c35ad14, ValuesTable, 4478bca51348740b, 1496422896.287, 1496422896.489, 18, NANO-USD, 199093, B, 3599797, MS, 3093, B, 797, MS, CapacityUnits, 0.5, RCU, PayloadSize, 907, B, Latency, 203, MS
predictValueFunction-DynamoDB-Kinesis, 5edf2b4142595a37, N/A, d4de507f1c35ad14, 1496422896.556, 1496422896.636, 118, NANO-USD,  ,  ,  ,  ,  ,  ,  ,  , PayloadSize, 182, B, Operation, WRITE, KINESISOPERATION, Latency, 80, MS
predictValueFunction-DynamoDB-DynamoDB, d14c2045bab8b3fd, PredictionsTable, d4de507f1c35ad14, 1496422896.51, 1496422896.61, 181, NANO-USD, 9818, B, 3599900, MS, 818, B, 900, MS, CapacityUnits, 1, WCU, PayloadSize, 182, B, Latency, 100, MS
predictValueFunction-DynamoDB-Kinesis, 11864b19951d9446, N/A, d4de507f1c35ad14, 1496422896.553, 1496422896.631, 118, NANO-USD,  ,  ,  ,  ,  ,  ,  ,  , PayloadSize, 182, B, Operation, WRITE, KINESISOPERATION, Latency, 79, MS
predictValueFunction-DynamoDB-Kinesis, 5d010671858dfa58, N/A, d4de507f1c35ad14, 1496422896.528, 1496422896.64, 118, NANO-USD,  ,  ,  ,  ,  ,  ,  ,  , PayloadSize, 182, B, Operation, WRITE, KINESISOPERATION, Latency, 112, MS
predictValueFunction-DynamoDB-DynamoDB, 0a4fdbaf0ec4a4ad, PredictionsTable, d4de507f1c35ad14, 1496422896.55, 1496422896.595, 181, NANO-USD, 9818, B, 3599954, MS, 818, B, 954, MS, CapacityUnits, 1, WCU, PayloadSize, 182, B, Latency, 46, MS
predictValueFunction-DynamoDB-DynamoDB, 2cb225415e20e941, PredictionsTable, d4de507f1c35ad14, 1496422896.555, 1496422896.612, 181, NANO-USD, 9818, B, 3599943, MS, 818, B, 943, MS, CapacityUnits, 1, WCU, PayloadSize, 182, B, Latency, 57, MS
predictValueFunction-DynamoDB-Kinesis, 05e0d6698cf39af7, N/A, d4de507f1c35ad14, 1496422896.547, 1496422896.624, 118, NANO-USD,  ,  ,  ,  ,  ,  ,  ,  , PayloadSize, 182, B, Operation, WRITE, KINESISOPERATION, Latency, 78, MS
predictValueFunction-DynamoDB-DynamoDB, 106fad35c2101d28, PredictionsTable, d4de507f1c35ad14, 1496422896.545, 1496422896.606, 181, NANO-USD, 9818, B, 3599939, MS, 818, B, 939, MS, CapacityUnits, 1, WCU, PayloadSize, 182, B, Latency, 61, MS
DynamoDB, 0d6f1eca0d807ca3, ValuesTable, 14d659db308cee93, 1496422892.136, 1496422892.456
