Trace_Id, 1-593199e6-a96afe23fa635efde9fe6538, Trace_Latency [ms], 12.50600004196167

name, id, resource, parent_id, start, end, MC-val, MC-unit, PAW-val, PAW-unit, PTW-val, PTW-unit, MAW-val, MAW-unit, MTW-val, MTW-unit, c_1_name, c_1_val, c_1_type, c_2_name, c_2_val, c_2_type, c_3_name, c_3_val, c_3_type, c_4_name, c_4_val, c_4_type

predictValueFunction, 7f94099e0481b9b0, predictValueFunction, 38c3579d53a3aa6b, 1496422898.3, 1496422898.719, 8335, NANO-USD, 0, B, 0, MS, 979, MB, 78, MS, Duration, 422, MS, BilledDuration, 500, MS, MemorySize, 1024, MB, MaxMemoryUsed, 45, MB
predictValueFunction-Initialization, 5d3f743f0223d49f, N/A, 7f94099e0481b9b0, 1496422897.713, 1496422898.296
predictValueFunction-DynamoDB, 8cc3d20b28f2b159, ValuesTable, 7f94099e0481b9b0, 1496422898.328, 1496422898.53, 18, NANO-USD, 199093, B, 3599798, MS, 3093, B, 798, MS, CapacityUnits, 0.5, RCU, PayloadSize, 907, B, Latency, 202, MS
predictValueFunction-DynamoDB-DynamoDB, 4508cbd2da17453a, PredictionsTable, 8cc3d20b28f2b159, 1496422898.55, 1496422898.695, 181, NANO-USD, 9818, B, 3599855, MS, 818, B, 855, MS, CapacityUnits, 1, WCU, PayloadSize, 182, B, Latency, 145, MS
predictValueFunction-DynamoDB-Kinesis, ba63f0749bc80c2b, N/A, 8cc3d20b28f2b159, 1496422898.618, 1496422898.714, 118, NANO-USD,  ,  ,  ,  ,  ,  ,  ,  , PayloadSize, 182, B, Operation, WRITE, KINESISOPERATION, Latency, 96, MS
predictValueFunction-DynamoDB-Kinesis, 1f8b1d85ea2e28ad, N/A, 8cc3d20b28f2b159, 1496422898.579, 1496422898.713, 118, NANO-USD,  ,  ,  ,  ,  ,  ,  ,  , PayloadSize, 182, B, Operation, WRITE, KINESISOPERATION, Latency, 135, MS
predictValueFunction-DynamoDB-Kinesis, 205225c643b03446, N/A, 8cc3d20b28f2b159, 1496422898.611, 1496422898.711, 118, NANO-USD,  ,  ,  ,  ,  ,  ,  ,  , PayloadSize, 182, B, Operation, WRITE, KINESISOPERATION, Latency, 100, MS
predictValueFunction-DynamoDB-DynamoDB, 75a1f40e02601054, PredictionsTable, 8cc3d20b28f2b159, 1496422898.617, 1496422898.689, 181, NANO-USD, 9818, B, 3599928, MS, 818, B, 928, MS, CapacityUnits, 1, WCU, PayloadSize, 182, B, Latency, 72, MS
predictValueFunction-DynamoDB-DynamoDB, db5a9284b339cda4, PredictionsTable, 8cc3d20b28f2b159, 1496422898.577, 1496422898.682, 181, NANO-USD, 9818, B, 3599894, MS, 818, B, 894, MS, CapacityUnits, 1, WCU, PayloadSize, 182, B, Latency, 106, MS
predictValueFunction-DynamoDB-DynamoDB, 6850046f9eb49d99, PredictionsTable, 8cc3d20b28f2b159, 1496422898.609, 1496422898.69, 181, NANO-USD, 9818, B, 3599918, MS, 818, B, 918, MS, CapacityUnits, 1, WCU, PayloadSize, 182, B, Latency, 82, MS
predictValueFunction-DynamoDB-Kinesis, 0d395f723cb86c21, N/A, 8cc3d20b28f2b159, 1496422898.57, 1496422898.717, 118, NANO-USD,  ,  ,  ,  ,  ,  ,  ,  , PayloadSize, 182, B, Operation, WRITE, KINESISOPERATION, Latency, 148, MS
persistValueFunction, 3fd9d44007a5ac1f, persistValueFunction, 37bc3221b457fba9, 1496422894.374, 1496422894.836, 1040, NANO-USD, 0, B, 0, MS, 90, MB, 11, MS, Duration, 489, MS, BilledDuration, 500, MS, MemorySize, 128, MB, MaxMemoryUsed, 38, MB
persistValueFunction-DynamoDB, 5f563a11508a087d, ValuesTable, 3fd9d44007a5ac1f, 1496422894.516, 1496422894.794, 181, NANO-USD, 9818, B, 3599722, MS, 818, B, 722, MS, CapacityUnits, 1, WCU, PayloadSize, 182, B, Latency, 278, MS
predictValueFunction, 7506c70f250bbd3c, N/A, 7c655bcc30229aa2, 1496422894.211, 1496422894.221
predictValueFunction-Attempt #1, 38c3579d53a3aa6b, N/A, 7506c70f250bbd3c, 1496422894.251, 1496422898.718
predictValueFunction-Dwell Time, 4aceeb4d88319e05, N/A, 7506c70f250bbd3c, 1496422894.211, 1496422894.251
persistValueFunction, 0f108ab479f998a8, N/A, d572c666fe0b98a9, 1496422894.221, 1496422894.282
persistValueFunction-Dwell Time, 49b47e21a1a6de94, N/A, 0f108ab479f998a8, 1496422894.221, 1496422894.308
persistValueFunction-Attempt #1, 37bc3221b457fba9, N/A, 0f108ab479f998a8, 1496422894.308, 1496422894.838
ingestValueFunction, 37e5829a5f86ae1b, ingestValueFunction, 7b0e51a64bfa6958, 1496422891.672, 1496422894.527, 6032, NANO-USD, 0, B, 0, MS, 86, MB, 17, MS, Duration, 2883, MS, BilledDuration, 2900, MS, MemorySize, 128, MB, MaxMemoryUsed, 42, MB
ingestValueFunction-Initialization, 67dad05a4d712853, N/A, 37e5829a5f86ae1b, 1496422889.895, 1496422891.592
ingestValueFunction-Lambda, 7c655bcc30229aa2, predictValueFunction, 37e5829a5f86ae1b, 1496422893.549, 1496422894.329
ingestValueFunction-Lambda, d572c666fe0b98a9, persistValueFunction, 37e5829a5f86ae1b, 1496422891.871, 1496422894.486
ingestValueFunction, 7b0e51a64bfa6958, N/A, , 1496422886.213, 1496422894.547
